section,record_type,field,value
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Stocks,USD
Change in Dividend Accruals,Data,Total,
Change in Dividend Accruals,Data,Ending Dividend Accruals in USD,
Codes,Header,Code,Meaning
Codes,Data,A,Assignment
Codes,Data,ADR,ADR Fee Accrual
Codes,Data,AEx,Automatic exercise for dividend-related recommendation.
Codes,Data,AFx,AutoFX conversion resulting from trading
Codes,Data,Adj,Adjustment
Codes,Data,Al,Allocation
Codes,Data,Aw,Away Trade
Codes,Data,B,Automatic Buy-in
Codes,Data,Bo,Direct Borrow
Codes,Data,C,Closing Trade
Codes,Data,CD,Cash Delivery
Codes,Data,CP,Complex Position
Codes,Data,Ca,Cancelled
Codes,Data,Co,Corrected Trade
Codes,Data,Cx,Part or all of this transaction was a Crossing executed as dual agent by Broker for two Broker customers
Codes,Data,DT,Discounted Trade
Codes,Data,De,Delivery or Conversion Action
Codes,Data,ETF,ETF Creation/Redemption
Codes,Data,Ep,Resulted from an Expired Position
Codes,Data,Ex,Exercise
Codes,Data,FP,"Broker acted as agent for the fractional share portion of this trade, which was executed by a Broker affiliate as principal."
Codes,Data,FPA,Broker acted as agent for both the fractional share portion and the whole share portion of this trade; the fractional share portion was executed by a Broker Affiliate as principal.
Codes,Data,G,Trade in Guaranteed Account Segment
Codes,Data,GEA,Exercise or Assignment resulting from offsetting positions
Codes,Data,HC,Highest Cost tax basis election
Codes,Data,HFI,Investment Transferred to Hedge Fund
Codes,Data,HFR,Redemption from Hedge Fund
Codes,Data,I,Internal Transfer
Codes,Data,IA,This transaction was executed against a Broker affiliate
Codes,Data,IM,A portion of the order was executed against a Broker affiliate; A broker acted as agent on a portion.
Codes,Data,INV,Investment Transfer from Investor
Codes,Data,IPO,This transaction was executed as part of an IPO in which Broker was a member of the selling group and is classified as a Principal trade.
Codes,Data,L,Ordered by Broker (Margin Violation)
Codes,Data,LD,Adjusted by Loss Disallowed from Wash Sale
Codes,Data,LF,Liquidation of fractional position by IB
Codes,Data,LI,"Last In, First Out (LIFO) tax basis election"
Codes,Data,LT,Long Term P/L
Codes,Data,Lo,Direct Loan
Codes,Data,M,Entered manually by Broker
Codes,Data,MEx,Manual exercise for dividend-related recommendation.
Codes,Data,ML,Maximize Losses tax basis election
Codes,Data,MLG,Maximize Long Term Gain tax basis election
Codes,Data,MLL,Maximize Long Term Loss tax basis election
Codes,Data,MSG,Maximize Short Term Gain tax basis election
Codes,Data,MSL,Maximize Short Term Loss tax basis election
Codes,Data,O,Opening Trade
Codes,Data,Off,Yes and No contracts offset to $1.00 cash settlement
Codes,Data,P,Partial Execution
Codes,Data,PE,Perpetual Investment
Codes,Data,PI,Price Improvement
Codes,Data,PTA,Post Trade Allocation
Codes,Data,Po,Interest or Dividend Accrual Posting
Codes,Data,Pr,Part or all of this transaction was executed by the Exchange as a Crossing by Broker against a Broker affiliate and is therefore classified as a Principal and not an agency trade
Codes,Data,R,Dividend Reinvestment
Codes,Data,RED,Redemption to Investor
Codes,Data,RI,Recurring Investment
Codes,Data,RP,"Broker acted as agent for the fractional share portion of this trade, which was executed by a Broker affiliate as riskless principal."
Codes,Data,RPA,Broker acted as agent for both the fractional share portion and the whole share portion of this trade; the fractional share portion was executed by a Broker Affiliate as riskless principal.
Codes,Data,Rb,Rebill
Codes,Data,Re,Interest or Dividend Accrual Reversal
Codes,Data,Ri,Reimbursement
Codes,Data,S0,Contract settled to zero value
Codes,Data,S1,Contract settled to $1.00
Codes,Data,SF,Trade is subject to IBKR Lite Surcharge Fee if volume of such trades exceeds 10% of the total monthly Lite trade volume
Codes,Data,SI,This order was solicited by Broker
Codes,Data,SL,Specific Lot tax basis election
Codes,Data,SO,This order was marked as solicited by your Introducing Broker
Codes,Data,SS,Customer designated this trade for shortened settlement and so is subject to execution at prices above the prevailing market
Codes,Data,ST,Short Term P/L
Codes,Data,T,Transfer
Codes,Data,Un,Unvested shares from stock grant
Codes,Data,XCH,Mutual Fund Exchange Transaction
